315,unnamed,44/31,606.282
316,unnamed,125/88,607.623
317,unnamed,27/19,608.352
318,91st harmonic,91/64,609.354
319,low 5-limit tritone,64/45,609.776
320,high Pythagorean tritone,729/512,611.73
321,unnamed,57/40,613.154
322,unnamed,77/54,614.279
323,septimal tritone,10/7,617.488
324,unnamed,63/44,621.418
325,unnamed,33/23,624.999
326,unnamed,56/39,626.343
327,23rd harmonic,23/16,628.274
328,diminished fifth (3/2 x 24/25),36/25,631.283
329,unnamed,121/84,631.855
330,unnamed,49/34,632.696
331,unnamed,13/9,636.618
332,unnamed,81/56,638.994
333,unnamed,55/38,640.119
334,unnamed,42/29,641.204
335,unnamed,29/20,643.263
336,unnamed,45/31,645.188
337,93rd harmonic,93/64,646.991
338,unnamed,16/11,648.682
339,unnamed,51/35,651.771
340,unnamed,729/500,652.789
341,unnamed,35/24,653.185
342,unnamed,19/13,656.985
343,unnamed,375/256,660.896
344,unnamed,22/15,663.049
345,47th harmonic,47/32,665.507
346,unnamed,72/49,666.258
347,unnamed,25/17,667.672
348,unnamed,81/55,670.188
349,unnamed,28/19,671.313
350,unnamed,31/21,674.255
351,unnamed,189/128,674.691
352,unnamed,34/23,676.681
353,"dissonant ""wolf"" 5-limit fifth",40/27,680.449
354,unnamed,46/31,683.239
355,95th harmonic,95/64,683.827
356,unnamed,49/33,684.379
357,unnamed,52/35,685.388
358,unnamed,58/39,687.095
359,unnamed,125/84,688.16
360,unnamed,112/75,694.243
361,unnamed,121/81,694.816
362,equal-tempered perfect fifth,2 to the 7/12ths,700
363,perfect fifth,3/2,701.955
364,unnamed,121/80,716.322
365,unnamed,50/33,719.354
366,97th harmonic,97/64,719.895
367,unnamed,1024/675,721.508
368,unnamed,44/29,721.741
369,unnamed,243/160,723.461
370,unnamed,38/25,724.886
371,unnamed,35/23,726.865
372,unnamed,32/21,729.219
373,unnamed,29/19,732.064
374,unnamed,84/55,733.149
375,unnamed,55/36,733.722
376,unnamed,26/17,735.572
377,unnamed,75/49,736.931
378,49th harmonic,49/32,737.652
379,unnamed,23/15,740.006
380,diminished sixth (8/5 x 24/25),192/125,743.014
381,unnamed,20/13,745.786
382,unnamed,77/50,747.516
383,unnamed,54/35,750.725
384,unnamed,125/81,751.121
385,unnamed,17/11,753.637
386,99th harmonic,99/64,755.228
387,unnamed,48/31,756.919
388,unnamed,31/20,758.722
389,unnamed,45/29,760.674
390,septimal minor sixth,14/9,764.916
391,unnamed,120/77,768.125
392,unnamed,39/25,769.855
393,augmented fifth,25/16,772.627
394,unnamed,36/23,775.636
395,undecimal minor sixth,11/7,782.492
396,unnamed,63/40,786.422
397,unnamed,52/33,787.255
398,101st harmonic,101/64,789.854
399,unnamed,30/19,790.756
400,Pythagorean minor sixth,128/81,792.18
401,unnamed,49/31,792.616
402,unnamed,405/256,794.134
403,unnamed,19/12,795.558
404,unnamed,46/29,798.697
405,unnamed,100/63,799.892
406,equal-tempered minor sixth,2 to the 2/3rds,800
407,unnamed,27/17,800.91
408,unnamed,62/39,802.553
409,unnamed,35/22,803.822
410,51st harmonic,51/32,806.91
411,5-limit minor sixth,8/5,813.686
412,"Pythagorean ""schismatic"" sixth",6561/4096,815.64
413,unnamed,77/48,818.189
414,unnamed,45/28,821.398
415,103rd harmonic,103/64,823.801
416,unnamed,29/18,825.667
417,unnamed,50/31,827.592
418,unnamed,121/75,828.053
419,unnamed,21/13,830.253
420,unnamed,55/34,832.676
421,unnamed,34/21,834.175
422,unnamed,81/50,835.193
423,unnamed,125/77,838.797
424,overtone sixth,13/8,840.528
425,unnamed,57/35,844.328
426,unnamed,44/27,845.453
427,unnamed,31/19,847.523
428,unnamed,80/49,848.662
429,unnamed,49/30,849.383
430,"undecimal ""median"" sixth",18/11,852.592
431,105th harmonic,105/64,857.095
432,unnamed,64/39,857.517
433,unnamed,23/14,859.448
434,unnamed,51/31,861.875
435,unnamed,400/243,862.852
436,unnamed,28/17,863.87
437,unnamed,33/20,866.959
438,unnamed,38/23,869.239
439,unnamed,81/49,870.168
440,unnamed,48/29,872.378
441,53rd harmonic,53/32,873.505
442,unnamed,58/35,874.438
443,unnamed,63/38,875.223
444,unnamed,128/77,879.856
445,107th harmonic,107/64,889.76
446,5-limit major sixth,5/3,884.359
447,unnamed,57/34,894.513
448,unnamed,52/31,895.492
449,unnamed,42/25,898.153
450,unnamed,121/72,898.726
451,equal-tempered major sixth,2 to the 3/4ths,900
452,unnamed,32/19,902.487
453,Pythagorean major sixth,27/16,905.865
454,unnamed,49/29,908.075
455,unnamed,22/13,910.79
456,unnamed,39/23,914.208
457,unnamed,56/33,915.553
458,unnamed,17/10,918.642
459,109th harmonic,109/64,921.821
460,unnamed,46/27,922.409
461,unnamed,75/44,923.264
462,unnamed,29/17,924.622
463,diminished seventh (16/9 x 24/25),128/75,925.418
464,unnamed,77/45,929.92
465,septimal major sixth,12/7,933.129
466,55th harmonic,55/32,937.632
467,unnamed,31/18,941.126
468,unnamed,441/256,941.562
469,unnamed,50/29,943.05
470,unnamed,19/11,946.195
471,unnamed,216/125,946.924
472,unnamed,121/70,947.496
473,unnamed,45/26,949.696
474,unnamed,26/15,952.259
475,111th harmonic,111/64,953.299
476,augmented sixth (5/3 x 25/24),125/72,955.031
477,unnamed,33/19,955.76
478,unnamed,40/23,958.039
479,unnamed,54/31,960.829
480,unnamed,96/55,964.323
481,unnamed,110/63,964.896
482,septimal minor seventh,7/4,968.826
483,unnamed,58/33,976.304
484,unnamed,225/128,976.537
485,unnamed,51/29,977.333
486,unnamed,44/25,978.691
487,unnamed,30/17,983.313
488,113th harmonic,113/64,984.215
489,unnamed,99/56,986.402
490,unnamed,23/13,987.747
491,unnamed,62/35,989.896
492,unnamed,39/22,991.165
493,unnamed,55/31,992.596
494,Pythagorean small min. seventh,16/9,996.09
495,57th harmonic,57/32,999.468
496,equal-tempered minor seventh,2 to the 5/6ths,1000
497,unnamed,98/55,1000.02
498,unnamed,25/14,1003.802
499,unnamed,34/19,1007.442
500,unnamed,52/29,1010.95
501,unnamed,88/49,1013.666
502,115th harmonic,115/64,1014.588
503,5-limit large minor seventh,9/5,1017.596
504,unnamed,56/31,1023.79
505,unnamed,38/21,1026.732
506,29th harmonic,29/16,1029.577
507,unnamed,49/27,1031.787
508,unnamed,20/11,1034.996
509,unnamed,51/28,1038.085
510,unnamed,729/400,1039.103
511,unnamed,31/17,1040.08
512,unnamed,42/23,1042.507
513,117th harmonic,117/64,1044.438
514,unnamed,64/35,1044.86
515,unnamed,4000/2187,1045.256
516,undecimal "median" seventh,11/6,1049.363
517,unnamed,90/49,1052.572
518,unnamed,57/31,1054.432
519,unnamed,46/25,1055.647
520,unnamed,81/44,1056.502
521,unnamed,35/19,1057.627
522,59th harmonic,59/32,1059.172
523,unnamed,24/13,1061.427
524,unnamed,50/27,1066.762
525,unnamed,63/34,1067.78
526,unnamed,13/7,1071.702
527,119th harmonic,119/64,1073.781
528,unnamed,54/29,1076.288
529,unnamed,28/15,1080.557
530,unnamed,58/31,1084.542
531,5-limit major seventh,15/8,1088.269
532,unnamed,62/33,1091.763
533,unnamed,32/17,1095.045
534,unnamed,49/26,1097.124
535,unnamed,66/35,1098.133
536,equal-tempered major seventh,2 to the 11/12ths,1100
537,unnamed,17/9,1101.045
538,121st harmonic,121/64,1102.636
539,unnamed,125/66,1105.668
540,unnamed,36/19,1106.397
541,unnamed,256/135,1107.821
542,unnamed,55/29,1108.054
543,Pythagorean major seventh,243/128,1109.775
544,unnamed,19/10,1111.199
545,unnamed,40/21,1115.533
546,61st harmonic,61/32,1116.885
